ICSID.caseno,DISPUTE.icsid_caseno,ICSID.id,DISPUTE.id
ARB/09/3,ARB/09/3,395.0,3650.0
ARB/09/2,ARB/09/2,396.0,1745.0
ARB/09/2,ARB/09/2,386.0,1745.0
ARB/09/7,,389.0,
ARB/09/6,ARB/09/6,390.0,1148.0
ARB/09/11,ARB/09/11,383.0,506.0
ARB/09/9,ARB/09/9,385.0,1454.0
ARB/09/9,ARB/09/9,375.0,1454.0
ARB/09/12,ARB/09/12,381.0,783.0
ARB/09/13,ARB/09/13,380.0,2112.0
ARB/09/13,ARB/09/13,370.0,2112.0
ARB/10/11,ARB/10/11,346.0,4113.0
ARB/10/11,ARB/10/11,346.0,4112.0
ARB/10/11,ARB/10/11,346.0,4114.0
ARB/09/18,ARB/09/18,373.0,3445.0
ARB/09/18,ARB/09/18,363.0,3445.0
ARB/09/19,,371.0,
ARB/09/15,ARB/09/15,377.0,1460.0
ARB(AF)/09/1,ARB(AF)/09/1,369.0,2727.0
ARB/09/17,ARB/09/17,374.0,296.0
ARB(AF)/09/2,,367.0,
ARB(AF)/09/2,,357.0,
ARB/09/21,,366.0,
ARB/09/23,ARB/09/23,364.0,2108.0
ARB/09/23,ARB/09/23,354.0,2108.0
UNCT/10/1,,358.0,
ARB/10/3,ARB/10/3,359.0,2272.0
ARB/10/1,ARB/10/1,361.0,1220.0
ARB/10/1,ARB/10/1,351.0,1220.0
ARB/10/4,,356.0,
ARB/10/9,ARB/10/9,348.0,1141.0
ARB/10/9,ARB/10/9,338.0,1141.0
ARB/10/8,ARB/10/8,349.0,1881.0
ARB/10/7,ARB/10/7,350.0,460.0
ARB/10/20,,320.0,
ARB/10/20,,330.0,
ARB/10/14,ARB/10/14,342.0,779.0
ARB/10/15,ARB/10/15,340.0,1472.0
ARB/10/16,,339.0,
ARB/10/17,ARB/10/17,337.0,2444.0
ARB/10/17,ARB/10/17,327.0,2444.0
ARB/10/18,ARB/10/18,336.0,3338.0
ARB/10/18,ARB/10/18,326.0,3338.0
ARB/10/19,ARB/10/19,334.0,1524.0
ARB(AF)/10/1,ARB(AF)/10/1,332.0,707.0
ARB(AF)/10/1,ARB(AF)/10/1,322.0,707.0
ARB/10/21,ARB/10/21,329.0,567.0
ARB/10/25,ARB/10/25,319.0,1470.0
ARB/10/23,ARB/10/23,324.0,1629.0
ARB/11/4,,314.0,
UNCT/13/1,UNCT/13/1,307.0,906.0
ARB/11/7,ARB/11/7,309.0,2494.0
ARB/11/9,ARB/11/9,306.0,2487.0
ARB/11/10,,305.0,
ARB/11/11,,304.0,
ARB/11/12,ARB/11/12,302.0,2852.0
ARB(AF)/11/3,ARB(AF)/11/3,303.0,1734.0
ARB/11/15,,298.0,
ARB/11/14,,299.0,
ARB/11/14,,289.0,
ARB/11/13,ARB/11/13,300.0,1188.0
ARB/11/17,ARB/11/17,296.0,2556.0
ARB/11/17,ARB/11/17,286.0,2556.0
ARB/11/16,ARB/11/16,297.0,2299.0
ARB/11/18,ARB/11/18,295.0,2010.0
ARB/11/19,ARB/11/19,294.0,2469.0
ARB/11/19,ARB/11/19,284.0,2469.0
ARB/11/20,ARB/11/20,293.0,2176.0
ARB/11/20,ARB/11/20,283.0,2176.0
ARB/11/21,,292.0,
ARB/11/23,ARB/11/23,290.0,1846.0
ARB/11/24,ARB/11/24,288.0,3003.0
ARB(AF)/11/2,ARB(AF)/11/2,301.0,1530.0
ARB(AF)/11/2,ARB(AF)/11/2,311.0,1530.0
ARB(AF)/11/4,,281.0,
ARB/11/25,ARB/11/25,285.0,2979.0
ARB/11/26,ARB/11/26,282.0,2084.0
ARB/11/27,ARB/11/27,280.0,5170.0
ARB/11/28,ARB/11/28,278.0,1124.0
ARB/11/30,ARB/11/30,275.0,3109.0
ARB/11/32,ARB/11/32,272.0,2297.0
ARB/11/33,,271.0,
ARB/12/1,ARB/12/1,270.0,1631.0
ARB/12/3,,268.0,
ARB/12/5,ARB/12/5,266.0,1939.0
ARB(AF)/12/1,ARB(AF)/12/1,265.0,1687.0
ARB/12/6,ARB/12/6,263.0,2036.0
ARB/12/7,ARB/12/7,262.0,1833.0
ARB/12/8,ARB/12/8,261.0,2583.0
ARB/12/8,ARB/12/8,251.0,2583.0
ARB/12/9,ARB/12/9,260.0,1937.0
ARB/12/10,ARB/12/10,258.0,2706.0
ARB(AF)/12/3,ARB(AF)/12/3,256.0,1217.0
ARB/12/11,ARB/12/11,255.0,1926.0
ARB/12/13,ARB/12/13,253.0,1784.0
ARB/12/12,ARB/12/12,254.0,1654.0
ARB(AF)/12/4,ARB(AF)/12/4,252.0,1477.0
ARB/12/14 and 12/40,ARB/12/14 and 12/40,250.0,1479.0
ARB/12/14 and 12/40,ARB/12/14 and 12/40,240.0,1479.0
CONC(AF)/12/2,,248.0,
CONC(AF)/12/2,,238.0,
ARB/12/17,ARB/12/17,246.0,1972.0
ARB/12/18,ARB/12/18,245.0,2097.0
ARB/12/18,ARB/12/18,235.0,2097.0
ARB/12/19,ARB/12/19,243.0,2089.0
ARB(AF)/12/5,ARB(AF)/12/5,244.0,2048.0
ARB/12/20,ARB/12/20,242.0,1513.0
ARB/12/22,ARB/12/22,239.0,2099.0
ARB/12/23,,237.0,
ARB/12/25,ARB/12/25,234.0,2026.0
ARB/12/24,ARB/12/24,236.0,2091.0
ARB/12/2,ARB/12/2,259.0,384.0
ARB/12/2,ARB/12/2,269.0,384.0
ARB/12/26,,233.0,
ARB/12/28,ARB/12/28,231.0,3111.0
ARB/12/29,ARB/12/29,229.0,3088.0
ARB/12/29,ARB/12/29,220.0,3088.0
ARB/12/32,ARB/12/32,226.0,1964.0
ARB/12/31,ARB/12/31,227.0,1970.0
ARB/12/33,ARB/12/33,225.0,2095.0
ARB/12/34,ARB/12/34,224.0,2093.0
ARB/12/34,ARB/12/34,215.0,2093.0
ARB(AF)/12/7,,223.0,
ARB/12/35,ARB/12/35,222.0,2040.0
ARB/12/38,ARB/12/38,217.0,2046.0
ARB/12/36,ARB/12/36,221.0,3831.0
ARB/12/37,ARB/12/37,218.0,2022.0
ARB(AF)/12/8,ARB(AF)/12/8,219.0,2028.0
ARB/12/40 and 12/14,,214.0,
ARB/12/39,ARB/12/39,216.0,1966.0
ARB/13/1,ARB/13/1,213.0,2024.0
ARB/13/2,ARB/13/2,212.0,2125.0
ARB/13/5,ARB/13/5,210.0,2153.0
ARB(AF)/13/1,ARB(AF)/13/1,208.0,1918.0
ARB/13/7,ARB/13/7,204.0,2062.0
ARB/13/6,ARB/13/6,207.0,5403.0
ARB/13/8,ARB/13/8,205.0,2073.0
ARB/13/9,,203.0,
ARB/13/10,ARB/13/10,202.0,2123.0
ARB/13/11,ARB/13/11,201.0,2127.0
ARB/13/12,ARB/13/12,200.0,2160.0
ARB/13/14,,198.0,
ARB/13/16,,196.0,
ARB/13/17,ARB/13/17,195.0,2171.0
ARB/13/18,,194.0,
UNCT/15/2,UNCT/15/2,192.0,1606.0
ARB/13/19,ARB/13/19,193.0,2221.0
ARB/13/20,ARB/13/20,191.0,3379.0
ARB/13/22,ARB/13/22,188.0,2230.0
UNCT/14/2,UNCT/14/2,187.0,1625.0
ARB/13/21,ARB/13/21,189.0,2235.0
ARB/13/23,,186.0,
ARB/13/24,,185.0,
ARB/13/13,ARB/13/13,190.0,2131.0
ARB/13/13,ARB/13/13,199.0,2131.0
ARB/13/25,,184.0,
ARB/13/27,ARB/13/27,182.0,2068.0
UNCT/13/2,UNCT/13/2,180.0,2110.0
ARB/13/29,,178.0,
ARB/13/30,ARB/13/30,177.0,2317.0
ARB/13/33,ARB/13/33,174.0,2770.0
ARB/13/33,ARB/13/33,165.0,2770.0
ARB/13/31,,176.0,
ARB/13/32,ARB/13/32,175.0,2516.0
ARB/13/34,,173.0,
ARB/13/35,,172.0,
ARB/13/36,ARB/13/36,171.0,5721.0
ARB/13/37,,170.0,
ARB/13/38,,169.0,
ARB/14/1,,167.0,
ARB/14/2,ARB/14/2,166.0,2848.0
UNCT/15/3,UNCT/15/3,168.0,2959.0
UNCT/15/3,UNCT/15/3,159.0,2959.0
ARB/14/4,ARB/14/4,163.0,2456.0
ARB/14/3,ARB/14/3,164.0,5739.0
ARB/14/5,ARB/14/5,162.0,2258.0
ARB/14/6,,161.0,
ARB(AF)/14/1,,157.0,
ARB/14/8,ARB/14/8,158.0,2463.0
ARB/14/12,,153.0,
ARB/14/11,ARB/14/11,154.0,2585.0
ARB/14/10,ARB/14/10,155.0,2558.0
ARB(AF)/14/2,,151.0,
ARB/14/15,ARB/14/15,149.0,2723.0
ARB/14/16,,148.0,
ARB/14/17,,147.0,
ARB(AF)/14/3,ARB(AF)/14/3,146.0,2690.0
ARB/14/19,,144.0,
ARB/14/18,,145.0,
ARB/14/20,,143.0,
ARB/14/21,,142.0,
ARB/14/22,ARB/14/22,141.0,3688.0
ARB/14/23,,140.0,
ARB/14/24,ARB/14/24,139.0,3147.0
ARB/14/25,ARB/14/25,138.0,5391.0
ARB/14/30,ARB/14/30,133.0,5904.0
ARB/14/31,,132.0,
ARB/14/29,,134.0,
ARB/14/32,,131.0,
ARB/14/33,,130.0,
ARB/14/35,,128.0,
ARB/14/34,,129.0,
ARB/15/1,,127.0,
ARB/15/4,,123.0,
ARB/15/2,,126.0,
UNCT/15/1,UNCT/15/1,124.0,5183.0
ARB/15/3,,125.0,
