DISPUTE.id,DISPUTE.title,DISPUTE.economic_sector,DISPUTE.case_respondent,DISPUTE.amount_of_damages,DISPUTE.case_law_text,DISPUTE.case_treaties_tid,DISPUTE.case_claimant,DISPUTE.arbitration_rules,DISPUTE.outcome,DISPUTE.case_treaties,DISPUTE.case_country,DISPUTE.icsid_caseno
1057,"Suez, Sociedad General de Aguas de Barcelona, S.A.and Vivendi Universal, S.A. v. Argentine Republic, ICSID Case No. ARB/03/19 (formerly Aguas Argentinas, S.A., Suez, Sociedad General de Aguas de Barcelona, S.A.and Vivendi Universal, S.A. v. Argentine Re",,ARG,,Argentina-France BIT,234.0,"Suez, Vivendi Universal, S.A.",ICSID,,Argentina-France BIT,,ARB/03/19
1091,"Telekom Malaysia Berhad v. The Republic of Ghana, Case No. HA/RK 2004, 667",,GHA,,Ghana-Malaysia BIT,585.0,Telekom Malaysia Berhad,UNCITRAL,,Ghana-Malaysia BIT,,"HA/RK 2004, 667"
1477,"Telefónica S.A. v. United Mexican States, ICSID Case No. ARB(AF)/12/4",,MEX,,Mexico-Spain BIT,583.0,Telefónica S.A.,ICSID Additional Facility,,Mexico-Spain BIT,,ARB(AF)/12/4
1046,"Standard Chartered Bank v. The United Republic of Tanzania, ICSID Case No. ARB/10/12",,TZA,,Tanzania-United Kingdom BIT,153.0,Standard Chartered Bank,ICSID,,Tanzania-United Kingdom BIT,,ARB/10/12
3252,"State Enterprise ""Energorynok"" (Ukraine) v. The Republic of Moldova, SCC Arbitration V 2012/175","Electricity, gas, steam and air conditioning supply",,,Energy Charter Treaty (ECT),59.0,,SCC,In favour of State,Energy Charter Treaty (ECT),,
3251,"State Enterprise ""Energorynok"" (Ukraine) v. The Republic of Moldova, SCC Arbitration V 2012/175","Electricity, gas, steam and air conditioning supply",,,Energy Charter Treaty (ECT),59.0,,SCC,In favour of State,Energy Charter Treaty (ECT),,
2252,"Spentex Netherlands, B.V. v. Republic of Uzbekistan, ICSID Case No. ARB/13/26",,UZB,,Netherlands-Uzbekistan BIT,970.0,Spentex Netherlands B.V.,ICSID,,Netherlands-Uzbekistan BIT,,ARB/13/26
2447,"ST-AD GmbH v. Republic of Bulgaria, UNCITRAL, PCA Case No. 2011-06",,BGR,,Bulgaria-Germany BIT,1030.0,ST-AD GmbH,UNCITRAL,,Bulgaria-Germany BIT,,2011-06
3299,"Southern Pacific Properties (Middle East) Limited v. Arab Republic of Egypt, ICSID Case No. ARB/84/3",Other service activities,,,,,,ICSID,In favour of Investor,,,ARB/84/3
3300,"Southern Pacific Properties (Middle East) Limited v. Arab Republic of Egypt, ICSID Case No. ARB/84/3",Other service activities,,,,,,ICSID,In favour of Investor,,,ARB/84/3
2121,"South American Silver Limited v. Bolivia, UNCITRAL, PCA Case No. 2013-15",,BOL,,Bolivia-United Kingdom BIT,358.0,South American Silver Limited,UNCITRAL,,Bolivia-United Kingdom BIT,,2013-15
3308,"Société Ouest Africaine des Bétons Industriels v. Senegal, ICSID Case No. ARB/82/1",Construction,,,,,,ICSID,In favour of Investor,,,ARB/82/1
3312,"Société Kufpec (Congo) Limited v. Republic of Congo, ICSID Case No. ARB/97/2","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Discontinued,,,ARB/97/2
2583,"Société Industrielle des Boissons de Guinée v. Republic of Guinea, ICSID Case No. ARB/12/8",,GIN,,,,Société Industrielle des Boissons de Guinée,ICSID,,,,ARB/12/8
1041,"Hussein Nuaman Soufraki v. The United Arab Emirates, ICSID Case No. ARB/02/7",,ARE,,Italy-United Arab Emirates BIT,567.0,Soufraki,ICSID,,Italy-United Arab Emirates BIT,,ARB/02/7
