id,title,economic_sector,case_respondent,amount_of_damages,case_law_text,case_treaties_tid,case_claimant,arbitration_rules,outcome,case_treaties,case_country
5910,"Raymond Charles Eyre and Montrose Developments (Private) Limited v. Democratic Socialist Republic of Sri Lanka, ICSID Case No. ARB/16/25","Arts, entertainment and recreation",,,Sri Lanka - United Kingdom BIT (1980),4279,,ICSID,,Sri Lanka - United Kingdom BIT (1980),
4948,"Ras al-Khaimah Investment Authority v. India, UNCITRAL, PCA","Mining and quarrying, including hydrocarbons (oil and gas)",,,,3653,,UNCITRAL,,India-UAE BIT,
5589,"President Allende Foundation, Victor Pey Casado and Coral Pey Grebe v. Republic of Chile, PCA Case No. AA662",Other service activities,,,Chile-Spain BIT,501,,UNCITRAL,,Chile-Spain BIT,
5687,"Power Rental Asset Co Two LLC (AssetCo), Power Rental Op Co Australia LLC (OpCo), APR Energy LLC v. the Government of Australia, UNCITRAL","Electricity, gas, steam and air conditioning supply",,,United States-Australia Free Trade Agreement (FTA),4014,,UNCITRAL,,United States-Australia Free Trade Agreement (FTA),
5986,"Puma Energy Holdings (Luxembourg) SARL v the Republic of Benin, SCC Case No. SCC EA 2017/092","Electricity, gas, steam and air conditioning supply",,,BLEU (Belgium-Luxembourg Economic Union) - Benin BIT (2001),4364,,SCC Rules of Arbitration,,BLEU (Belgium-Luxembourg Economic Union) - Benin BIT (2001),
1687,"Apotex Holdings Inc. and Apotex Inc. v. United States of America, ICSID Case No. ARB(AF)/12/1",Manufacturing,,,NAFTA,11,,ICSID Additional Facility,In favour of State,NAFTA,
4032,"PJSC Ukrnafta v. The Russian Federation, UNCITRAL, PCA Case No. 2015-34","Mining and quarrying, including hydrocarbons (oil and gas)",,,Ukraine-Russia BIT 1998,2999,,UNCITRAL,,Ukraine-Russia BIT 1998,
5925,"Portigon AG v. Kingdom of Spain, ICSID Case No. ARB/17/15","Electricity, gas, steam and air conditioning supply",,,Energy Charter Treaty,2855,,ICSID,,Energy Charter Treaty,
4327,"Peter A. Allard v. The Government of Barbados, PCA Case No. 2012-06",Real estate activities,,,Barbados - Canada BIT (1996),3414,,UNCITRAL,In favour of State,Barbados - Canada BIT (1996),
5015,"Pawlowski AG and Project Sever s.r.o. v. Czech Republic, ICSID Case No. ARB/17/11",Construction,,,Czech Republic - Switzerland BIT (1990),3672,,ICSID,,Czech Republic - Switzerland BIT (1990),
2040,"Orascom TMT Investments S.à r.l. v. People's Democratic Republic of Algeria, ICSID Case No. ARB/12/35",Information and communication,DZA,,Algeria -Belgium-Luxembourg Economic Union BIT (1991),2687,Orascom TMT Investments S.à r.l.,ICSID,In favour of State,Algeria -Belgium-Luxembourg Economic Union BIT (1991),
