id,decisions,caseno,title,type,claimant,econsector,instrumentinvk1,instrumentinvk2,partiessub,respondent,rulesapplied,seatarbitration,status,subject
399,,ARB/08/20,Millicom International Operations B.V. and Sentel GSM S.A. v. Republic of Senegal (ICSID Case No. ARB/08/20),"",Millicom International Operations B.V. and Sentel GSM S.A.,Information & Communication,BIT Senegal - Netherlands 1979,Contract,,SEN,ICSID Convention - Arbitration Rules,"",Concluded,Telecommunications enterprise
395,,ARB/09/3,"Holcim Limited, Holderfin B.V. and Caricement B.V. v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/09/3)","","Holcim Limited, Holderfin B.V. and Caricement B.V.",Construction,"BIT Netherlands - Venezuela,  Republica Bolivariana de 1991, BIT Venezuela,  Republica Bolivariana de - Switzerland 1993","",,VEN,ICSID Convention - Arbitration Rules,"",Pending,Cement production enterprise
396,,ARB/09/2,Deutsche Bank AG v. Democratic Socialist Republic of Sri Lanka (ICSID Case No. ARB/09/2),"",Deutsche Bank AG,Finance,BIT Germany - Sri Lanka 2000,"",,LKA,ICSID Convention - Arbitration Rules,"",Concluded,Hedging agreement
389,,ARB/09/7,MTN (Dubai) Limited and MTN Yemen for Mobile Telephones v. Republic of Yemen (ICSID Case No. ARB/09/7),"",MTN (Dubai) Limited and MTN Yemen for Mobile Telephones,Information & Communication,"BIT United Arab Emirates - Yemen,  Republic of 2001",Investment Law - Yemen (2002),,YEM,ICSID Convention - Arbitration Rules,"",Concluded,Operation of a global system for mobile communications (GSM) network
390,,ARB/09/6,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG v. Federal Republic of Germany  (ICSID Case No. ARB/09/6)","","Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG",Electric Power & Other Energy,"",ECT (Energy Charter Treaty),,DEU,ICSID Convention - Arbitration Rules,"",Concluded,Power plant construction project
383,,ARB/09/11,"Global Trading Resource Corp. and Globex International, Inc. v. Ukraine (ICSID Case No. ARB/09/11)","","Global Trading Resource Corp. and Globex International, Inc.","Agriculture, Fishing & Forestry",BIT Ukraine - United States of America 1994,"",,UKR,ICSID Convention - Arbitration Rules,"",Concluded,Poultry products
385,,ARB/09/9,Adem Dogan v. Turkmenistan (ICSID Case No. ARB/09/9),"",Adem Dogan,"Agriculture, Fishing & Forestry",BIT Germany - Turkmenistan 1997,"",,TKM,ICSID Convention - Arbitration Rules,"",Concluded,Poultry farm
381,,ARB/09/12,Pac Rim Cayman LLC v. Republic of El Salvador  (ICSID Case No. ARB/09/12),"",Pac Rim Cayman LLC,"Oil, Gas & Mining","","CAFTA-DR (Dominican Republic-Central America Free Trade Agreement), Investment Law - El Salvador (1999)",,SLV,ICSID Convention - Arbitration Rules,"",Concluded,Mining concession
380,,ARB/09/13,International Company for Railway Systems (ICRS) v. Hashemite Kingdom of Jordan (ICSID Case No. ARB/09/13),"",International Company for Railway Systems (ICRS),Transportation,BIT Jordan - Kuwait 2001,Contract,,JOR,ICSID Convention - Arbitration Rules,"",Concluded,Light rail system
346,,ARB/10/11,Niko Resources (Bangladesh) Ltd. v. Bangladesh Petroleum Exploration & Production Company Limited ("Bapex") and Bangladesh Oil Gas and Mineral Corporation ("Petrobangla")  (ICSID Case No. ARB/10/11),"",Niko Resources (Bangladesh) Ltd.,"Oil, Gas & Mining","",Contract,,Bangladesh Petroleum Exploration & Production Company Limited ("Bapex") and Bangladesh Oil Gas and Mineral Corporation ("Petrobangla"),ICSID Convention - Arbitration Rules,"",Pending,Petroleum development contract
