DISPUTE.id,DISPUTE.title,DISPUTE.economic_sector,DISPUTE.case_respondent,DISPUTE.amount_of_damages,DISPUTE.case_law_text,DISPUTE.case_treaties_tid,DISPUTE.case_claimant,DISPUTE.arbitration_rules,DISPUTE.outcome,DISPUTE.case_treaties,DISPUTE.case_country,ICSID.id,ICSID.decisions,ICSID.caseno,ICSID.title,ICSID.type,ICSID.claimant,ICSID.econsector,ICSID.instrumentinvk1,ICSID.instrumentinvk2,ICSID.partiessub,ICSID.respondent,ICSID.rulesapplied,ICSID.seatarbitration,ICSID.status,ICSID.subject
1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227",,RUS,,Energy Charter Treaty (ECT),59.0,Yukos Universal Limited (Isle of Man),UNCITRAL,,Energy Charter Treaty (ECT),,,,,,,,,,,,,,,,
1173,"Yaung Chi Oo Trading Pte. Ltd. v. Government of the Union of Myanmar, ASEAN I.D. Case No. ARB/01/1",,MMR,,ASEAN Agreement for the Promotion and Protection of Investments,624.0,Yaung Chi Oo Trading Pte. Ltd.,ICSID,,ASEAN Agreement for the Promotion and Protection of Investments,,683.0,,ARB/01/1,"Impregilo, S.p.A and Rizzani De Eccher S.p.A. v. United Arab Emirates  (ICSID Case No. ARB/01/1)",,"Impregilo, S.p.A and Rizzani De Eccher S.p.A.",Construction,BIT Italy - United Arab Emirates 1995,,,ARE,ICSID Convention - Arbitration Rules,,Concluded,Construction of a mosque
1173,"Yaung Chi Oo Trading Pte. Ltd. v. Government of the Union of Myanmar, ASEAN I.D. Case No. ARB/01/1",,MMR,,ASEAN Agreement for the Promotion and Protection of Investments,624.0,Yaung Chi Oo Trading Pte. Ltd.,ICSID,,ASEAN Agreement for the Promotion and Protection of Investments,,673.0,,ARB/01/1,"Impregilo, S.p.A and Rizzani De Eccher S.p.A. v. United Arab Emirates  (ICSID Case No. ARB/01/1)",,"Impregilo, S.p.A and Rizzani De Eccher S.p.A.",Construction,BIT Italy - United Arab Emirates 1995,,,ARE,ICSID Convention - Arbitration Rules,,Concluded,Construction of a mosque
3277,"WRB Enterprises and Grenada Private Power Limited v. Grenada, ICSID Case No. ARB/97/5","Electricity, gas, steam and air conditioning supply",,,,,,ICSID,Settled,,,740.0,,ARB/97/5,WRB Enterprises and Grenada Private Power Limited  v. Grenada (ICSID Case No. ARB/97/5),,WRB Enterprises and Grenada Private Power Limited,Electric Power & Other Energy,,Contract,,GRD,ICSID Convention - Arbitration Rules,,Concluded,Electricity enterprise
3277,"WRB Enterprises and Grenada Private Power Limited v. Grenada, ICSID Case No. ARB/97/5","Electricity, gas, steam and air conditioning supply",,,,,,ICSID,Settled,,,730.0,,ARB/97/5,WRB Enterprises and Grenada Private Power Limited  v. Grenada (ICSID Case No. ARB/97/5),,WRB Enterprises and Grenada Private Power Limited ,Electric Power & Other Energy,,Contract,,GRD,ICSID Convention - Arbitration Rules,,Concluded,Electricity enterprise
2354,"World Wide Minerals v. Republic of Kazakhstan, UNCITRAL (Case 2)",,KAZ,,Canada-USSR BIT,1001.0,World Wide Minerals,UNCITRAL,,Canada-USSR BIT,,,,,,,,,,,,,,,,
3453,"Barmek Holding A.S. v. Republic of Azerbaijan, ICSID Case No. ARB/06/16","Electricity, gas, steam and air conditioning supply",,,Turkey-Azerbaijan BIT,2100.0,,,Settled,Turkey-Azerbaijan BIT,,488.0,,ARB/06/16,Barmek Holding A.S. v. Republic of Azerbaijan  (ICSID Case No. ARB/06/16),,Barmek Holding A.S.,Electric Power & Other Energy,BIT Turkey - Azerbaijan 1994,Contract,,AZE,ICSID Convention - Arbitration Rules,,Concluded,Electricity concession
3456,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo, ICSID Case No. ARB/98/7","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,,,,720.0,,ARB/98/7,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo  (ICSID Case No. ARB/98/7)",,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L.","Oil, Gas & Mining",,Other,,Democratic Republic of the Congo,ICSID Convention - Arbitration Rules,,Concluded,Gold mining concessions
3456,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo, ICSID Case No. ARB/98/7","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,,,,710.0,,ARB/98/7,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo  (ICSID Case No. ARB/98/7)",,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L.","Oil, Gas & Mining",,Other,,Democratic Republic of the Congo,ICSID Convention - Arbitration Rules,,Concluded,Gold mining concessions
1169,"White Industries Australia Limited v. The Republic of India, UNCITRAL",,IND,,Australia-India BIT,621.0,White Industries Australia Limited,UNCITRAL,,Australia-India BIT,,,,,,,,,,,,,,,,
